"Id";"AccountId";"AccountName";"AccountType";"Date";"Description";"OriginalDescription";"MainCategoryId";"MainCategoryName";"CategoryId";"CategoryName";"CategoryType";"ExpenseType";"Amount";"Balance";"CounterEntryId";"Comment";"Tags";"Extraordinary";"SplitGroupId";"CustomDate";"Currency";"OriginalAmount";"OriginalCurrency"
"637451043045972684";"637361145905559259";"Opsparing";"Consumption";"31-12-2020";"Rente";"Rente";"19";"Lån & gæld";"181";"Udlånsrenter";"Expense";"Variable";"86,11";"208630,64";"";;"";"No";"";"01-01-2021";"DKK";"86,11";"DKK"
"637453530036067564";"636225015933913518";"Primary";"Consumption";"03-01-2021";"MobilePay Maria Hougaard";"MobilePay Maria Hougaard";"17";"Privatforbrug";"158";"Møbler & boligudstyr";"Expense";"Variable";"-400,00";"60297,25";"";;"";"No";"";;"DKK";"-400,00";"DKK"
"637453530036067553";"636225015933913518";"Primary";"Consumption";"04-01-2021";"iCloud Fastefæll.udgifte";"iCloud Fastefæll.udgifte";"17";"Privatforbrug";"186";"Online services & software";"Expense";"Variable";"69,00";"39700,92";"";;"";"No";"";;"DKK";"69,00";"DKK"
"637453530036067554";"636225015933913518";"Primary";"Consumption";"04-01-2021";"Faste Fællesudgifter";"Faste Fællesudgifter";"16";"Andre leveomkostninger";"146";"Sundheds- & sygeforsikring";"Expense";"Fixed";"-500,00";"39631,92";"";;"";"No";"";;"DKK";"-500,00";"DKK"
"637453530036067555";"636225015933913518";"Primary";"Consumption";"04-01-2021";"Aldersopsparing";"Aldersopsparing 2021";"20";"Pension & Opsparing";"182";"Pensionsopsparing";"Saving";"Fixed";"-5300,00";"40131,92";"";;"";"No";"";;"DKK";"-5300,00";"DKK"
"637453530036067556";"636225015933913518";"Primary";"Consumption";"04-01-2021";"Kærestekonto";"Kærestekonto";"14";"Husholdning";"132";"Dagligvarer";"Expense";"Variable";"-2000,00";"45431,92";"";;"";"No";"";;"DKK";"-2000,00";"DKK"
"637453530036067557";"636225015933913518";"Primary";"Consumption";"04-01-2021";"Husleje";"Husleje";"12";"Bolig";"114";"Boliglån/husleje";"Expense";"Fixed";"-5000,00";"47431,92";"";;"";"No";"";;"DKK";"-5000,00";"DKK"
"637453530036067558";"636225015933913518";"Primary";"Consumption";"04-01-2021";"opsparing";"opsparing";"20";"Pension & Opsparing";"184";"Anden opsparing";"Saving";"Fixed";"-5000,00";"52431,92";"";;"";"No";"";;"DKK";"-5000,00";"DKK"
"637453530036067559";"636225015933913518";"Primary";"Consumption";"04-01-2021";"INGO København, He";"INGO København, He 33628";"13";"Transport";"124";"Brændstof";"Expense";"Variable";"-261,74";"57431,92";"";;"";"No";"";;"DKK";"-261,74";"DKK"
"637453530036067560";"636225015933913518";"Primary";"Consumption";"04-01-2021";"Q8 Service - 8193";"Q8 Service - 8193 )))) 71863";"13";"Transport";"124";"Brændstof";"Expense";"Variable";"-69,00";"57693,66";"";;"";"No";"";"03-01-2021";"DKK";"-69,00";"DKK"
"637453530760623311";"637361145905559259";"Opsparing";"Consumption";"04-01-2021";"opsparing";"opsparing";;;"";;"Income";;"5000,00";"213630,64";"";;"";"No";"";;"DKK";"5000,00";"DKK"
"637454337246047622";"636225015933913518";"Primary";"Consumption";"04-01-2021";"Aldersopsparing";"Aldersopsparing";"20";"Pension & Opsparing";"182";"Pensionsopsparing";"Saving";"Fixed";"-100,00";"39486,05";"";;"";"No";"";;"DKK";"-100,00";"DKK"
"637454337246047623";"636225015933913518";"Primary";"Consumption";"04-01-2021";"Q8 Service";"Q8 Service - 8193 34267";"13";"Transport";"124";"Brændstof";"Expense";"Variable";"-114,87";"39586,05";"";;"";"No";"";;"DKK";"-114,87";"DKK"
"637674667688268924";"637674667682955970";"Faste Fællesudgifter";"Consumption";"04-01-2021";"iCloud";"iCloud
EndToEndID: NOTPROVIDED";"17";"Privatforbrug";"186";"Online services & software";"Expense";"Variable";"-69,00";"4585,38";"";;"";"No";"";;"DKK";"-69,00";"DKK"
"637674667688268925";"637674667682955970";"Faste Fællesudgifter";"Consumption";"04-01-2021";"Faste fællesudgifter";"Faste fællesudgifter
EndToEndID: NOTPROVIDED";"16";"Andre leveomkostninger";"146";"Sundheds- & sygeforsikring";"Expense";"Fixed";"500,00";"4654,38";"";;"";"No";"";;"DKK";"500,00";"DKK"
"637674667688268926";"637674667682955970";"Faste Fællesudgifter";"Consumption";"04-01-2021";"Fast Overførsel - Patric";"Fast Overførsel - Patric
EndToEndID: NOTPROVIDED";"16";"Andre leveomkostninger";"146";"Sundheds- & sygeforsikring";"Expense";"Fixed";"500,00";"4154,38";"";;"";"No";"";;"DKK";"500,00";"DKK"
"637674667688268927";"637674667682955970";"Faste Fællesudgifter";"Consumption";"04-01-2021";"Tryg";"Tryg
EndToEndID: NOTPROVIDED";"12";"Bolig";"119";"Indbo- & familieforsikring";"Expense";"Fixed";"-1633,17";"3654,38";"";;"";"No";"";;"DKK";"-1633,17";"DKK"
"637454337246047621";"636225015933913518";"Primary";"Consumption";"05-01-2021";"Wolt\ \Helsinki\";"Wolt\ \Helsinki\";"17";"Privatforbrug";"155";"Fastfood & takeaway";"Expense";"Variable";"-238,00";"39248,05";"";;"";"No";"";;"DKK";"-238,00";"DKK"
"637674667688268923";"637674667682955970";"Faste Fællesudgifter";"Consumption";"05-01-2021";"telia.dk";"telia.dk
EndToEndID: NOTPROVIDED";"16";"Andre leveomkostninger";"149";"Telefoni & internet";"Expense";"Fixed";"-257,30";"4328,08";"";;"";"No";"";;"DKK";"-257,30";"DKK"
"637455332923634669";"636225015933913518";"Primary";"Consumption";"06-01-2021";"MobilePay Ruth madsen";"MobilePay Ruth madsen";"17";"Privatforbrug";"169";"Gaver & velgørenhed";"Expense";"Variable";"500,00";"39638,05";"";;"";"No";"";;"DKK";"500,00";"DKK"
"637455332923634670";"636225015933913518";"Primary";"Consumption";"06-01-2021";"CUB COFFEE BAR\ \KOBENHAVN K \";"IZ *CUB COFFEE BAR\ \KOBENHAVN K \";"17";"Privatforbrug";"156";"Bar, cafe & restaurant";"Expense";"Variable";"-110,00";"39138,05";"";;"";"No";"";;"DKK";"-110,00";"DKK"
"637455696986300286";"636225015933913518";"Primary";"Consumption";"06-01-2021";"KIHOSKH A/S";"KIHOSKH A/S )))) 54350";"17";"Privatforbrug";"188";"Tobak & alkohol";"Expense";"Variable";"-478,00";"39160,05";"";;"";"No";"";;"DKK";"-478,00";"DKK"
"637457051929649297";"636225015933913518";"Primary";"Consumption";"08-01-2021";"WeShare: Bro";"WeShare: Bro";"17";"Privatforbrug";"169";"Gaver & velgørenhed";"Expense";"Variable";"269,00";"39211,05";"";;"";"No";"";;"DKK";"269,00";"DKK"
"637457051929649298";"636225015933913518";"Primary";"Consumption";"08-01-2021";"Wolt\ \Helsinki\";"Wolt\ \Helsinki\";"17";"Privatforbrug";"155";"Fastfood & takeaway";"Expense";"Variable";"-218,00";"38942,05";"";;"";"No";"";;"DKK";"-218,00";"DKK"
"637460438791860942";"636225015933913518";"Primary";"Consumption";"12-01-2021";"KICKSTARTER.COM\ \HTTPSWWW.KICK\";"KICKSTARTER.COM\ \HTTPSWWW.KICK\";"17";"Privatforbrug";"157";"Tøj, sko & accessories";"Expense";"Variable";"-273,81";"38937,24";"";;"";"No";"";;"DKK";"-273,81";"DKK"
"637461221348716314";"636225015933913518";"Primary";"Consumption";"12-01-2021";"MobilePay Mette Thielsen Weinkauf";"MobilePay Mette Thielsen Weinkauf";"17";"Privatforbrug";"167";"Babyudstyr";"Expense";"Variable";"-90,00";"38847,24";"";;"";"No";"";;"DKK";"-90,00";"DKK"
"637462289724585010";"636225015933913518";"Primary";"Consumption";"14-01-2021";"membantu.dk";"membantu.dk 74832";"17";"Privatforbrug";"167";"Babyudstyr";"Expense";"Variable";"-348,00";"38218,82";"";;"";"No";"";;"DKK";"-348,00";"DKK"
"637462289724585011";"636225015933913518";"Primary";"Consumption";"14-01-2021";"1PASSWORD* TRIAL OVER\ \TORONTO\";"1PASSWORD* TRIAL OVER\ \TORONTO\";"17";"Privatforbrug";"186";"Online services & software";"Expense";"Variable";"-280,42";"38566,82";"";;"";"No";"";;"DKK";"-280,42";"DKK"
"637463068915194282";"636225015933913518";"Primary";"Consumption";"14-01-2021";"MobilePay Line Nolting";"MobilePay Line Nolting";"17";"Privatforbrug";"167";"Babyudstyr";"Expense";"Variable";"-395,00";"35735,15";"";;"";"No";"";;"DKK";"-395,00";"DKK"
