"Id";"AccountId";"AccountName";"AccountType";"Date";"Description";"OriginalDescription";"MainCategoryId";"MainCategoryName";"CategoryId";"CategoryName";"CategoryType";"ExpenseType";"Amount";"Balance";"CounterEntryId";"Comment";"Tags";"Extraordinary";"SplitGroupId";"CustomDate";"Currency";"OriginalAmount";"OriginalCurrency"
"637781143767368736";"637674667682955970";"Faste Fællesudgifter";"Consumption";"03-01-2022";"Faste fællesudgifter";"Faste fællesudgifter";"16";"Andre leveomkostninger";"146";"Sundheds- & sygeforsikring";"Expense";"Fixed";"500,00";"2166,93";"";"";"";"No";"";"";"DKK";"500,00";"DKK"
"637781143767368737";"637674667682955970";"Faste Fællesudgifter";"Consumption";"03-01-2022";"Fast Overførsel - Patric";"Fast Overførsel - Patric";"";"";"";"";"Income";"";"500,00";"1666,93";"";"";"";"No";"";"";"DKK";"500,00";"DKK"
"637781143767368738";"637674667682955970";"Faste Fællesudgifter";"Consumption";"03-01-2022";"iCloud";"iCloud";"17";"Privatforbrug";"186";"Online services & software";"Expense";"Variable";"-69,00";"1166,93";"";"";"";"No";"";"";"DKK";"-69,00";"DKK"
"637781143767368739";"637674667682955970";"Faste Fællesudgifter";"Consumption";"03-01-2022";"Tryg";"Tryg";"12";"Bolig";"119";"Indbo- & familieforsikring";"Expense";"Fixed";"-1664,51";"1235,93";"";"";"";"No";"";"";"DKK";"-1664,51";"DKK"
"637781143767368740";"637674667682955970";"Faste Fællesudgifter";"Consumption";"03-01-2022";"Tryg";"Tryg";"12";"Bolig";"119";"Indbo- & familieforsikring";"Expense";"Fixed";"-1276,28";"2900,44";"";"";"";"No";"";"";"DKK";"-1276,28";"DKK"
"637781143767368735";"637674667682955970";"Faste Fællesudgifter";"Consumption";"04-01-2022";"telia.dk";"telia.dk";"16";"Andre leveomkostninger";"149";"Telefoni & internet";"Expense";"Fixed";"-249,00";"1917,93";"";"";"";"No";"";"";"DKK";"-249,00";"DKK"
"637781808217483790";"637674667682955970";"Faste Fællesudgifter";"Consumption";"19-01-2022";"Spotify";"Spotify";"17";"Privatforbrug";"163";"Film, musik & læsestof";"Expense";"Variable";"-124,00";"1793,93";"";"";"";"No";"";"";"DKK";"-124,00";"DKK"
"637792997339570322";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-02-2022";"Tryg";"Tryg";"12";"Bolig";"119";"Indbo- & familieforsikring";"Expense";"Fixed";"-772,94";"1412,73";"";"";"";"No";"";"";"DKK";"-772,94";"DKK"
"637792997339570323";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-02-2022";"Tryg";"Tryg";"12";"Bolig";"119";"Indbo- & familieforsikring";"Expense";"Fixed";"-539,26";"2185,67";"";"";"";"No";"";"";"DKK";"-539,26";"DKK"
"637792997339570324";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-02-2022";"Faste fællesudgifter";"Faste fællesudgifter";"16";"Andre leveomkostninger";"146";"Sundheds- & sygeforsikring";"Expense";"Fixed";"500,00";"2724,93";"";"";"";"No";"";"";"DKK";"500,00";"DKK"
"637792997339570325";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-02-2022";"Fast Overførsel - Patric";"Fast Overførsel - Patric";"";"";"";"";"Income";"";"500,00";"2224,93";"";"";"";"No";"";"";"DKK";"500,00";"DKK"
"637792997339570326";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-02-2022";"iCloud";"iCloud";"17";"Privatforbrug";"186";"Online services & software";"Expense";"Variable";"-69,00";"1724,93";"";"";"";"No";"";"";"DKK";"-69,00";"DKK"
"637793881992392228";"637674667682955970";"Faste Fællesudgifter";"Consumption";"02-02-2022";"telia.dk";"telia.dk";"16";"Andre leveomkostninger";"149";"Telefoni & internet";"Expense";"Fixed";"-249,00";"1163,73";"";"";"";"No";"";"";"DKK";"-249,00";"DKK"
"637810261619621740";"637674667682955970";"Faste Fællesudgifter";"Consumption";"21-02-2022";"Spotify";"Spotify";"17";"Privatforbrug";"163";"Film, musik & læsestof";"Expense";"Variable";"-124,00";"1039,73";"";"";"";"No";"";"";"DKK";"-124,00";"DKK"
"637817195405688265";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-03-2022";"Faste fællesudgifter";"Faste fællesudgifter";"16";"Andre leveomkostninger";"146";"Sundheds- & sygeforsikring";"Expense";"Fixed";"500,00";"1970,73";"";"";"";"No";"";"";"DKK";"500,00";"DKK"
"637817195405688266";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-03-2022";"Fast Overførsel - Patric";"Fast Overførsel - Patric";"16";"Andre leveomkostninger";"146";"Sundheds- & sygeforsikring";"Expense";"Fixed";"500,00";"1470,73";"";"";"";"No";"";"";"DKK";"500,00";"DKK"
"637817195405688267";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-03-2022";"iCloud";"iCloud";"17";"Privatforbrug";"186";"Online services & software";"Expense";"Variable";"-69,00";"970,73";"";"";"";"No";"";"";"DKK";"-69,00";"DKK"
"637818875220334574";"637674667682955970";"Faste Fællesudgifter";"Consumption";"02-03-2022";"telia.dk";"telia.dk";"16";"Andre leveomkostninger";"149";"Telefoni & internet";"Expense";"Fixed";"-249,00";"1721,73";"";"";"";"No";"";"";"DKK";"-249,00";"DKK"
"637834528889275738";"637674667682955970";"Faste Fællesudgifter";"Consumption";"21-03-2022";"Spotify";"Spotify";"17";"Privatforbrug";"163";"Film, musik & læsestof";"Expense";"Variable";"-124,00";"1597,73";"";"";"";"No";"";"";"DKK";"-124,00";"DKK"
"637844026556429221";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-04-2022";"Tryg";"Tryg";"12";"Bolig";"119";"Indbo- & familieforsikring";"Expense";"Fixed";"-283,69";"6509,04";"";"";"";"No";"";"";"DKK";"-283,69";"DKK"
"637844026556429222";"637674667682955970";"Faste Fællesudgifter";"Consumption";"01-04-2022";"Vuggestue";"Vuggestue";"10";"Vis ikke";"100";"Kontooverførsel";"Exclude";"None";"2132,00";"6792,73";"637844025751238999";"";"";"No";"";"";"DKK";"2132,00";"DKK"
