"Id";"AccountId";"AccountName";"AccountType";"Date";"Description";"OriginalDescription";"MainCategoryId";"MainCategoryName";"CategoryId";"CategoryName";"CategoryType";"ExpenseType";"Amount";"Balance";"CounterEntryId";"Comment";"Tags";"Extraordinary";"SplitGroupId";"CustomDate";"Currency";"OriginalAmount";"OriginalCurrency"
"636819201325896556";"636225015933913518";"Primary";"Consumption";"31-12-2018";"Rente";"Rente";"19";"Lån & gæld";"181";"Udlånsrenter";"Expense";"Variable";"-20,91";"27053,24";"";"";"";"No";"";"01-01-2019";"DKK";"-20,91";"DKK"
"636820261466800451";"636225015933913518";"Primary";"Consumption";"02-01-2019";"BEYTI ApS";"BEYTI ApS )))) 48984";"17";"Privatforbrug";"155";"Fastfood & takeaway";"Expense";"Variable";"-30,00";"23411,76";"";"";"";"No";"";"01-01-2019";"DKK";"-30,00";"DKK"
"636820261466800452";"636225015933913518";"Primary";"Consumption";"02-01-2019";"opsparing";"opsparing";"20";"Pension & Opsparing";"184";"Anden opsparing";"Saving";"Fixed";"-5000,00";"18411,76";"";"";"";"No";"";"";"DKK";"-5000,00";"DKK"
"636820261466800453";"636225015933913518";"Primary";"Consumption";"02-01-2019";"MobilePay Tina Jensen";"MobilePay Tina Jensen";"";"";"";"";"Expense";"";"-170,00";"18241,76";"";"";"";"No";"";"";"DKK";"-170,00";"DKK"
"636821223137570056";"636225015933913518";"Primary";"Consumption";"02-01-2019";"MobilePay Lars Bukkehave";"MobilePay Lars Bukkehave";"";"";"";"";"Expense";"";"-2700,00";"15541,76";"";"";"";"No";"";"";"DKK";"-2700,00";"DKK"
"636821223137570057";"636225015933913518";"Primary";"Consumption";"03-01-2019";"VDK DKK 80,00";"VDK DKK    80,00";"17";"Privatforbrug";"163";"Film, musik & læsestof";"Expense";"Variable";"-80,00";"15461,76";"";"";"";"No";"";"";"DKK";"-80,00";"DKK"
"636821223137570058";"636225015933913518";"Primary";"Consumption";"03-01-2019";"VDK DKK 38,00";"VDK DKK    38,00";"17";"Privatforbrug";"186";"Online services & software";"Expense";"Variable";"-38,00";"15423,76";"";"";"";"No";"";"";"DKK";"-38,00";"DKK"
"636822017796405759";"636225015933913518";"Primary";"Consumption";"03-01-2019";"Irma Nørre Voldg";"Irma Nørre Voldg. )))) 43108";"14";"Husholdning";"132";"Dagligvarer";"Expense";"Variable";"-222,25";"15201,51";"";"";"";"No";"";"";"DKK";"-222,25";"DKK"
"636823540354888524";"636225015933913518";"Primary";"Consumption";"05-01-2019";"MobilePay ZAGGIS IVS";"MobilePay ZAGGIS IVS";"";"";"";"";"Expense";"";"-15,00";"15186,51";"";"";"";"No";"";"";"DKK";"-15,00";"DKK"
"636824448347638268";"636225015933913518";"Primary";"Consumption";"06-01-2019";"WeShare: Duuuudes";"WeShare: Duuuudes";"17";"Privatforbrug";"164";"Biograf, koncerter & forlystelser";"Expense";"Variable";"198,71";"15385,22";"";"";"";"No";"";"";"DKK";"198,71";"DKK"
